SCS,ISC,NRUSC,tRU,requiredSNR,IRU,NRU,ITBS,Qm,TBS,numTrBlks,NRep,SNR,BLER,TTI,pathloss,datarate,bandwidth
3750,0,1,32,-5.7403,0,1,12,2,208,100,4,4,0,128,154,1.625,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,4,3,0,128,155,1.625,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,8,2,0,256,156,0.8125,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,8,1,0,256,157,0.8125,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,8,0,0,256,158,0.8125,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,8,-1,0,256,159,0.8125,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,8,-2,0,256,160,0.8125,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,8,-3,0,256,161,0.8125,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,8,-4,0,256,162,0.8125,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,16,-5,0,512,163,0.40625,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,8,-6,0,256,164,0.8125,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,16,-7,0,512,165,0.40625,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,2,16,0,64,142,3.5,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,2,15,0,64,143,3.5,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,2,14,0,64,144,3.5,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,2,13,0,64,145,3.5,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,2,12,0,64,146,3.5,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,2,11,0,64,147,3.5,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,2,10,0,64,148,3.5,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,2,9,0,64,149,3.5,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,2,8,0,64,150,3.5,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,2,7,0,64,151,3.5,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,2,6,0,64,152,3.5,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,4,5,0,128,153,1.75,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,4,4,0,128,154,1.75,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,4,3,0,128,155,1.75,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,8,2,0,256,156,0.875,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,8,1,0,256,157,0.875,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,8,0,0,256,158,0.875,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,8,-1,0,256,159,0.875,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,16,-2,0,512,160,0.4375,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,16,-3,0,512,161,0.4375,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,16,-4,0,512,162,0.4375,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,16,-5,0,512,163,0.4375,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,16,-6,0,512,164,0.4375,"3,75"
3750,0,1,32,-5.7403,0,1,13,2,224,100,16,-7,0,512,165,0.4375,"3,75"
3750,0,1,32,-5.7403,1,2,1,2,56,100,1,2,0,64,156,0.875,"3,75"
3750,0,1,32,-5.7403,1,2,1,2,56,100,1,1,0,64,157,0.875,"3,75"
3750,0,1,32,-5.7403,1,2,1,2,56,100,1,0,0,64,158,0.875,"3,75"
3750,0,1,32,-5.7403,1,2,1,2,56,100,1,-1,0,64,159,0.875,"3,75"
3750,0,1,32,-5.7403,1,2,1,2,56,100,1,-2,0,64,160,0.875,"3,75"
3750,0,1,32,-5.7403,1,2,1,2,56,100,4,-3,0,256,161,0.21875,"3,75"
3750,0,1,32,-5.7403,1,2,1,2,56,100,4,-4,0,256,162,0.21875,"3,75"
3750,0,1,32,-5.7403,1,2,1,2,56,100,4,-5,0,256,163,0.21875,"3,75"
3750,0,1,32,-5.7403,1,2,1,2,56,100,8,-6,0,512,164,0.109375,"3,75"
3750,0,1,32,-5.7403,1,2,1,2,56,100,4,-7,0,256,165,0.21875,"3,75"
3750,0,1,32,-5.7403,1,2,3,2,104,100,1,8,0,64,150,1.625,"3,75"
3750,0,1,32,-5.7403,1,2,3,2,104,100,1,7,0,64,151,1.625,"3,75"
3750,0,1,32,-5.7403,1,2,3,2,104,100,1,6,0,64,152,1.625,"3,75"
3750,0,1,32,-5.7403,1,2,3,2,104,100,1,5,0,64,153,1.625,"3,75"
3750,0,1,32,-5.7403,1,2,3,2,104,100,1,4,0,64,154,1.625,"3,75"
3750,0,1,32,-5.7403,1,2,3,2,104,100,1,3,0,64,155,1.625,"3,75"
3750,0,1,32,-5.7403,1,2,3,2,104,100,1,2,0,64,156,1.625,"3,75"
3750,0,1,32,-5.7403,1,2,3,2,104,100,1,1,0,64,157,1.625,"3,75"
3750,0,1,32,-5.7403,1,2,3,2,104,100,2,0,0,128,158,0.8125,"3,75"
3750,0,1,32,-5.7403,1,2,3,2,104,100,1,-1,0,64,159,1.625,"3,75"
3750,0,1,32,-5.7403,1,2,3,2,104,100,1,-2,0,64,160,1.625,"3,75"
3750,0,1,32,-5.7403,1,2,3,2,104,100,2,-3,0,128,161,0.8125,"3,75"
3750,0,1,32,-5.7403,1,2,3,2,104,100,4,-4,0,256,162,0.40625,"3,75"
3750,0,1,32,-5.7403,1,2,3,2,104,100,4,-5,0,256,163,0.40625,"3,75"
3750,0,1,32,-5.7403,1,2,3,2,104,100,8,-6,0,512,164,0.203125,"3,75"
3750,0,1,32,-5.7403,1,2,3,2,104,100,8,-7,0,512,165,0.203125,"3,75"
3750,0,1,32,-5.7403,1,2,4,2,120,100,1,8,0,64,150,1.875,"3,75"
3750,0,1,32,-5.7403,1,2,4,2,120,100,1,7,0,64,151,1.875,"3,75"
3750,0,1,32,-5.7403,1,2,4,2,120,100,1,6,0,64,152,1.875,"3,75"
3750,0,1,32,-5.7403,1,2,4,2,120,100,1,5,0,64,153,1.875,"3,75"
3750,0,1,32,-5.7403,1,2,4,2,120,100,1,4,0,64,154,1.875,"3,75"
3750,0,1,32,-5.7403,1,2,4,2,120,100,1,3,0,64,155,1.875,"3,75"
3750,0,1,32,-5.7403,1,2,4,2,120,100,1,2,0,64,156,1.875,"3,75"
3750,0,1,32,-5.7403,1,2,4,2,120,100,1,1,0,64,157,1.875,"3,75"
3750,0,1,32,-5.7403,1,2,4,2,120,100,2,0,0,128,158,0.9375,"3,75"
3750,0,1,32,-5.7403,1,2,4,2,120,100,2,-1,0,128,159,0.9375,"3,75"
3750,0,1,32,-5.7403,1,2,4,2,120,100,4,-2,0,256,160,0.46875,"3,75"
